epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202148,2021-12-01,629,BA,Salvador,2927408,city,238447,8260.19902,284,8082,8,0.0339,2886698,True,False
202147,2021-11-23,621,BA,Salvador,2927408,city,238163,8250.36079,137,8074,1,0.0339,2886698,False,False
202147,2021-11-22,620,BA,Salvador,2927408,city,238026,8245.61489,90,8073,0,0.0339,2886698,False,False
202146,2021-11-19,617,BA,Salvador,2927408,city,237936,8242.49714,67,8073,3,0.0339,2886698,False,False
202146,2021-11-18,616,BA,Salvador,2927408,city,237869,8240.17615,60,8070,0,0.0339,2886698,False,False
202146,2021-11-17,615,BA,Salvador,2927408,city,237809,8238.09765,91,8070,1,0.0339,2886698,False,False
202146,2021-11-16,614,BA,Salvador,2927408,city,237718,8234.94526,27,8069,0,0.0339,2886698,False,False
202146,2021-11-15,613,BA,Salvador,2927408,city,237691,8234.00993,76,8069,1,0.0339,2886698,False,False
202145,2021-11-12,610,BA,Salvador,2927408,city,237615,8231.37717,74,8068,0,0.034,2886698,False,False
202145,2021-11-11,609,BA,Salvador,2927408,city,237541,8228.81368,71,8068,2,0.034,2886698,False,False
202145,2021-11-10,608,BA,Salvador,2927408,city,237470,8226.35413,54,8066,3,0.034,2886698,False,False
202145,2021-11-09,607,BA,Salvador,2927408,city,237416,8224.48348,80,8063,3,0.034,2886698,False,False
202145,2021-11-07,605,BA,Salvador,2927408,city,237336,8221.71214,170,8060,8,0.034,2886698,False,False
202144,2021-11-03,601,BA,Salvador,2927408,city,237166,8215.82306,-7,8052,2,0.034,2886698,False,False
202144,2021-11-02,600,BA,Salvador,2927408,city,237173,8216.06555,24,8050,0,0.0339,2886698,False,False
202144,2021-11-01,599,BA,Salvador,2927408,city,237149,8215.23415,12,8050,1,0.0339,2886698,False,False
202144,2021-10-31,598,BA,Salvador,2927408,city,237137,8214.81845,11,8049,0,0.0339,2886698,False,False
202143,2021-10-30,597,BA,Salvador,2927408,city,237126,8214.4374,80,8049,2,0.0339,2886698,False,False
202143,2021-10-28,595,BA,Salvador,2927408,city,237046,8211.66606,114,8047,4,0.0339,2886698,False,False
202143,2021-10-27,594,BA,Salvador,2927408,city,236932,8207.71691,63,8043,8,0.0339,2886698,False,False
202142,2021-10-23,590,BA,Salvador,2927408,city,236869,8205.53449,53,8035,1,0.0339,2886698,False,False
202142,2021-10-22,589,BA,Salvador,2927408,city,236816,8203.69848,32,8034,0,0.0339,2886698,False,False
202142,2021-10-21,588,BA,Salvador,2927408,city,236784,8202.58995,50,8034,1,0.0339,2886698,False,False
202142,2021-10-20,587,BA,Salvador,2927408,city,236734,8200.85787,39,8033,0,0.0339,2886698,False,False
202142,2021-10-19,586,BA,Salvador,2927408,city,236695,8199.50684,24,8033,1,0.0339,2886698,False,False
202142,2021-10-18,585,BA,Salvador,2927408,city,236671,8198.67544,99,8032,8,0.0339,2886698,False,False
202141,2021-10-14,581,BA,Salvador,2927408,city,236572,8195.24592,63,8024,3,0.0339,2886698,False,False
202141,2021-10-11,578,BA,Salvador,2927408,city,236509,8193.06349,12,8021,1,0.0339,2886698,False,False
202141,2021-10-10,577,BA,Salvador,2927408,city,236497,8192.64779,95,8020,3,0.0339,2886698,False,False
202140,2021-10-07,574,BA,Salvador,2927408,city,236402,8189.35684,39,8017,3,0.0339,2886698,False,False
202140,2021-10-06,573,BA,Salvador,2927408,city,236363,8188.00581,39,8014,4,0.0339,2886698,False,False
202140,2021-10-05,572,BA,Salvador,2927408,city,236324,8186.65479,793,8010,86,0.0339,2886698,False,False
202137,2021-09-15,552,BA,Salvador,2927408,city,235531,8159.18395,121,7924,22,0.0336,2886698,False,False
202137,2021-09-13,550,BA,Salvador,2927408,city,235410,8154.99231,225,7902,28,0.0336,2886698,False,False
202136,2021-09-07,544,BA,Salvador,2927408,city,235185,8147.19794,123,7874,32,0.0335,2886698,False,False
202135,2021-09-02,539,BA,Salvador,2927408,city,235062,8142.93702,70,7842,1,0.0334,2886698,False,False
202135,2021-09-01,538,BA,Salvador,2927408,city,234992,8140.5121,245,7841,12,0.0334,2886698,False,False
202134,2021-08-28,534,BA,Salvador,2927408,city,234747,8132.02489,169,7829,46,0.0334,2886698,False,False
202134,2021-08-26,532,BA,Salvador,2927408,city,234578,8126.17045,171,7783,13,0.0332,2886698,False,False
202134,2021-08-24,530,BA,Salvador,2927408,city,234407,8120.24673,109,7770,5,0.0331,2886698,False,False
202134,2021-08-22,528,BA,Salvador,2927408,city,234298,8116.47079,22,7765,1,0.0331,2886698,False,False
202133,2021-08-21,527,BA,Salvador,2927408,city,234276,8115.70867,239,7764,8,0.0331,2886698,False,False
202133,2021-08-18,524,BA,Salvador,2927408,city,234037,8107.42932,130,7756,0,0.0331,2886698,False,False
202133,2021-08-17,523,BA,Salvador,2927408,city,233907,8102.9259,167,7756,6,0.0332,2886698,False,False
202133,2021-08-15,521,BA,Salvador,2927408,city,233740,8097.14075,117,7750,3,0.0332,2886698,False,False
202132,2021-08-13,519,BA,Salvador,2927408,city,233623,8093.08767,1369,7747,63,0.0332,2886698,False,False
