epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202151,2021-12-21,655,DF,Brasília,5300108,city,458852,15018.97289,33,10131,3,0.0221,3055149,True,False
202151,2021-12-20,654,DF,Brasília,5300108,city,458819,15017.89274,63,10128,3,0.0221,3055149,False,False
202150,2021-12-17,651,DF,Brasília,5300108,city,458756,15015.83065,36,10125,6,0.0221,3055149,False,False
202150,2021-12-16,650,DF,Brasília,5300108,city,458720,15014.65231,26,10119,3,0.0221,3055149,False,False
202150,2021-12-15,649,DF,Brasília,5300108,city,458694,15013.80129,24,10116,5,0.0221,3055149,False,False
202150,2021-12-14,648,DF,Brasília,5300108,city,458670,15013.01573,32,10111,6,0.022,3055149,False,False
202150,2021-12-13,647,DF,Brasília,5300108,city,458638,15011.96832,72,10105,5,0.022,3055149,False,False
202149,2021-12-10,644,DF,Brasília,5300108,city,458566,15009.61164,33,10100,6,0.022,3055149,False,False
202149,2021-12-09,643,DF,Brasília,5300108,city,458533,15008.5315,50,10094,3,0.022,3055149,False,False
202149,2021-12-08,642,DF,Brasília,5300108,city,458483,15006.89492,46,10091,2,0.022,3055149,False,False
202149,2021-12-07,641,DF,Brasília,5300108,city,458437,15005.38926,56,10089,1,0.022,3055149,False,False
202149,2021-12-06,640,DF,Brasília,5300108,city,458381,15003.55629,78,10088,2,0.022,3055149,False,False
202148,2021-12-03,637,DF,Brasília,5300108,city,458303,15001.00322,79,10086,3,0.022,3055149,False,False
202148,2021-12-02,636,DF,Brasília,5300108,city,458224,14998.41743,80,10083,2,0.022,3055149,False,False
202148,2021-12-01,635,DF,Brasília,5300108,city,458144,14995.7989,138,10081,3,0.022,3055149,False,False
202148,2021-11-29,633,DF,Brasília,5300108,city,458006,14991.28193,148,10078,9,0.022,3055149,False,False
202147,2021-11-26,630,DF,Brasília,5300108,city,457858,14986.43765,68,10069,6,0.022,3055149,False,False
202147,2021-11-25,629,DF,Brasília,5300108,city,457790,14984.2119,83,10063,7,0.022,3055149,False,False
202147,2021-11-24,628,DF,Brasília,5300108,city,457707,14981.49517,92,10056,9,0.022,3055149,False,False
202147,2021-11-23,627,DF,Brasília,5300108,city,457615,14978.48386,95,10047,4,0.022,3055149,False,False
202147,2021-11-22,626,DF,Brasília,5300108,city,457520,14975.37436,138,10043,5,0.022,3055149,False,False
202146,2021-11-19,623,DF,Brasília,5300108,city,457382,14970.8574,82,10038,6,0.0219,3055149,False,False
202146,2021-11-18,622,DF,Brasília,5300108,city,457300,14968.1734,110,10032,6,0.0219,3055149,False,False
202146,2021-11-17,621,DF,Brasília,5300108,city,457190,14964.57292,140,10026,10,0.0219,3055149,False,False
202146,2021-11-16,620,DF,Brasília,5300108,city,457050,14959.99049,343,10016,20,0.0219,3055149,False,False
202145,2021-11-11,615,DF,Brasília,5300108,city,456707,14948.76355,126,9996,8,0.0219,3055149,False,False
202145,2021-11-10,614,DF,Brasília,5300108,city,456581,14944.63936,127,9988,8,0.0219,3055149,False,False
202145,2021-11-09,613,DF,Brasília,5300108,city,456454,14940.48244,84,9980,7,0.0219,3055149,False,False
202145,2021-11-08,612,DF,Brasília,5300108,city,456370,14937.73299,299,9973,8,0.0219,3055149,False,False
202144,2021-11-05,609,DF,Brasília,5300108,city,456071,14927.94623,119,9965,5,0.0218,3055149,False,False
202144,2021-11-04,608,DF,Brasília,5300108,city,455952,14924.05117,87,9960,4,0.0218,3055149,False,False
202144,2021-11-03,607,DF,Brasília,5300108,city,455865,14921.20352,190,9956,8,0.0218,3055149,False,False
202144,2021-11-02,606,DF,Brasília,5300108,city,455675,14914.98451,72,9948,7,0.0218,3055149,False,False
202144,2021-11-01,605,DF,Brasília,5300108,city,455603,14912.62783,177,9941,9,0.0218,3055149,False,False
202144,2021-10-31,604,DF,Brasília,5300108,city,455426,14906.83433,115,9932,11,0.0218,3055149,False,False
202143,2021-10-30,603,DF,Brasília,5300108,city,455311,14903.07019,64,9921,8,0.0218,3055149,False,False
202143,2021-10-29,602,DF,Brasília,5300108,city,455247,14900.97537,178,9913,6,0.0218,3055149,False,False
202143,2021-10-28,601,DF,Brasília,5300108,city,455069,14895.14914,228,9907,9,0.0218,3055149,False,False
202143,2021-10-27,600,DF,Brasília,5300108,city,454841,14887.68633,250,9898,10,0.0218,3055149,False,False
202143,2021-10-26,599,DF,Brasília,5300108,city,454591,14879.50342,271,9888,19,0.0218,3055149,False,False
202143,2021-10-25,598,DF,Brasília,5300108,city,454320,14870.63315,220,9869,20,0.0217,3055149,False,False
202143,2021-10-24,597,DF,Brasília,5300108,city,454100,14863.43219,302,9849,5,0.0217,3055149,False,False
202142,2021-10-23,596,DF,Brasília,5300108,city,453798,14853.54724,623,9844,26,0.0217,3055149,False,False
202142,2021-10-21,594,DF,Brasília,5300108,city,453175,14833.15544,374,9818,10,0.0217,3055149,False,False
202142,2021-10-20,593,DF,Brasília,5300108,city,452801,14820.91381,442,9808,11,0.0217,3055149,False,False
202142,2021-10-19,592,DF,Brasília,5300108,city,452359,14806.44643,413,9797,11,0.0217,3055149,False,False
202142,2021-10-18,591,DF,Brasília,5300108,city,451946,14792.92827,375,9786,15,0.0217,3055149,False,False
202142,2021-10-17,590,DF,Brasília,5300108,city,451571,14780.65391,506,9771,9,0.0216,3055149,False,False
202141,2021-10-16,589,DF,Brasília,5300108,city,451065,14764.0917,547,9762,10,0.0216,3055149,False,False
202141,2021-10-15,588,DF,Brasília,5300108,city,450518,14746.1875,342,9752,16,0.0216,3055149,False,False
202141,2021-10-14,587,DF,Brasília,5300108,city,450176,14734.99329,390,9736,16,0.0216,3055149,False,False
202141,2021-10-13,586,DF,Brasília,5300108,city,449786,14722.22795,678,9720,14,0.0216,3055149,False,False
202141,2021-10-12,585,DF,Brasília,5300108,city,449108,14700.03591,350,9706,11,0.0216,3055149,False,False
202141,2021-10-11,584,DF,Brasília,5300108,city,448758,14688.57984,889,9695,17,0.0216,3055149,False,False
202141,2021-10-10,583,DF,Brasília,5300108,city,447869,14659.48142,806,9678,9,0.0216,3055149,False,False
202140,2021-10-09,582,DF,Brasília,5300108,city,447063,14633.09973,690,9669,9,0.0216,3055149,False,False
202140,2021-10-08,581,DF,Brasília,5300108,city,446373,14610.5149,951,9660,14,0.0216,3055149,False,False
202140,2021-10-07,580,DF,Brasília,5300108,city,445422,14579.38713,688,9646,28,0.0217,3055149,False,False
202140,2021-10-06,579,DF,Brasília,5300108,city,444734,14556.86777,630,9618,9,0.0216,3055149,False,False
202140,2021-10-05,578,DF,Brasília,5300108,city,444104,14536.24684,2794,9609,13,0.0216,3055149,False,False
202140,2021-10-04,577,DF,Brasília,5300108,city,441310,14444.79467,907,9596,13,0.0217,3055149,False,False
202140,2021-10-03,576,DF,Brasília,5300108,city,440403,14415.10709,1201,9583,5,0.0218,3055149,False,False
202139,2021-10-02,575,DF,Brasília,5300108,city,439202,14375.7964,545,9578,8,0.0218,3055149,False,False
202139,2021-10-01,574,DF,Brasília,5300108,city,438657,14357.95766,863,9570,13,0.0218,3055149,False,False
202139,2021-09-30,573,DF,Brasília,5300108,city,437794,14329.71027,832,9557,9,0.0218,3055149,False,False
202139,2021-09-29,572,DF,Brasília,5300108,city,436962,14302.47756,518,9548,17,0.0219,3055149,False,False
202139,2021-09-28,571,DF,Brasília,5300108,city,436444,14285.52257,648,9531,18,0.0218,3055149,False,False
202139,2021-09-27,570,DF,Brasília,5300108,city,435796,14264.31248,1280,9513,17,0.0218,3055149,False,False
202139,2021-09-26,569,DF,Brasília,5300108,city,434516,14222.41599,617,9496,13,0.0219,3055149,False,False
202138,2021-09-25,568,DF,Brasília,5300108,city,433899,14202.22058,686,9483,17,0.0219,3055149,False,False
202138,2021-09-24,567,DF,Brasília,5300108,city,433213,14179.76668,821,9466,20,0.0219,3055149,False,False
202138,2021-09-23,566,DF,Brasília,5300108,city,432392,14152.89402,893,9446,18,0.0218,3055149,False,False
202138,2021-09-22,565,DF,Brasília,5300108,city,431499,14123.66467,716,9428,13,0.0218,3055149,False,False
202138,2021-09-21,564,DF,Brasília,5300108,city,430783,14100.22883,599,9415,12,0.0219,3055149,False,False
202138,2021-09-20,563,DF,Brasília,5300108,city,430184,14080.62258,999,9403,12,0.0219,3055149,False,False
202138,2021-09-19,562,DF,Brasília,5300108,city,429185,14047.92369,1010,9391,9,0.0219,3055149,False,False
202137,2021-09-18,561,DF,Brasília,5300108,city,428175,14014.86474,714,9382,6,0.0219,3055149,False,False
202137,2021-09-17,560,DF,Brasília,5300108,city,427461,13991.49436,686,9376,6,0.0219,3055149,False,False
202137,2021-09-16,559,DF,Brasília,5300108,city,426775,13969.04046,573,9370,14,0.022,3055149,False,False
202137,2021-09-15,558,DF,Brasília,5300108,city,426202,13950.28524,575,9356,14,0.022,3055149,False,False
202137,2021-09-14,557,DF,Brasília,5300108,city,425627,13931.46455,793,9342,8,0.0219,3055149,False,False
202137,2021-09-13,556,DF,Brasília,5300108,city,424834,13905.50837,729,9334,10,0.022,3055149,False,False
202137,2021-09-12,555,DF,Brasília,5300108,city,424105,13881.64702,676,9324,10,0.022,3055149,False,False
202136,2021-09-11,554,DF,Brasília,5300108,city,423429,13859.52044,505,9314,10,0.022,3055149,False,False
202136,2021-09-10,553,DF,Brasília,5300108,city,422924,13842.99096,513,9304,9,0.022,3055149,False,False
202136,2021-09-09,552,DF,Brasília,5300108,city,422411,13826.19964,579,9295,10,0.022,3055149,False,False
202136,2021-09-08,551,DF,Brasília,5300108,city,421832,13807.24803,790,9285,10,0.022,3055149,False,False
202136,2021-09-07,550,DF,Brasília,5300108,city,421042,13781.39004,521,9275,11,0.022,3055149,False,False
202136,2021-09-06,549,DF,Brasília,5300108,city,420521,13764.33686,912,9264,12,0.022,3055149,False,False
202136,2021-09-05,548,DF,Brasília,5300108,city,419609,13734.48562,622,9252,10,0.022,3055149,False,False
202135,2021-09-04,547,DF,Brasília,5300108,city,418987,13714.12655,614,9242,10,0.0221,3055149,False,False
202135,2021-09-03,546,DF,Brasília,5300108,city,418373,13694.02933,1000,9232,20,0.0221,3055149,False,False
202135,2021-09-02,545,DF,Brasília,5300108,city,417373,13661.2977,956,9212,22,0.0221,3055149,False,False
202135,2021-09-01,544,DF,Brasília,5300108,city,416417,13630.00626,1125,9190,7,0.0221,3055149,False,False
202135,2021-08-31,543,DF,Brasília,5300108,city,415292,13593.18318,482,9183,12,0.0221,3055149,False,False
202135,2021-08-30,542,DF,Brasília,5300108,city,414810,13577.40654,941,9171,14,0.0221,3055149,False,False
202135,2021-08-29,541,DF,Brasília,5300108,city,413869,13546.60607,656,9157,15,0.0221,3055149,False,False
202134,2021-08-28,540,DF,Brasília,5300108,city,413213,13525.13413,493,9142,12,0.0221,3055149,False,False
202134,2021-08-27,539,DF,Brasília,5300108,city,412720,13508.99743,807,9130,10,0.0221,3055149,False,False
202134,2021-08-26,538,DF,Brasília,5300108,city,411913,13482.58301,496,9120,16,0.0221,3055149,False,False
202134,2021-08-25,537,DF,Brasília,5300108,city,411417,13466.34812,681,9104,12,0.0221,3055149,False,False
202134,2021-08-24,536,DF,Brasília,5300108,city,410736,13444.05788,444,9092,13,0.0221,3055149,False,False
202134,2021-08-23,535,DF,Brasília,5300108,city,410292,13429.52504,1082,9079,19,0.0221,3055149,False,False
202134,2021-08-22,534,DF,Brasília,5300108,city,409210,13394.10942,393,9060,14,0.0221,3055149,False,False
202133,2021-08-21,533,DF,Brasília,5300108,city,408817,13381.24589,792,9046,9,0.0221,3055149,False,False
202133,2021-08-20,532,DF,Brasília,5300108,city,408025,13355.32244,718,9037,9,0.0221,3055149,False,False
202133,2021-08-19,531,DF,Brasília,5300108,city,407307,13331.82113,460,9028,15,0.0222,3055149,False,False
202133,2021-08-18,530,DF,Brasília,5300108,city,406847,13316.76458,545,9013,11,0.0222,3055149,False,False
202133,2021-08-17,529,DF,Brasília,5300108,city,406302,13298.92585,453,9002,9,0.0222,3055149,False,False
202133,2021-08-16,528,DF,Brasília,5300108,city,405849,13284.09842,723,8993,21,0.0222,3055149,False,False
202133,2021-08-15,527,DF,Brasília,5300108,city,405126,13260.43345,476,8972,14,0.0221,3055149,False,False
202132,2021-08-14,526,DF,Brasília,5300108,city,404650,13244.8532,950,8958,10,0.0221,3055149,False,False
202132,2021-08-13,525,DF,Brasília,5300108,city,403700,13213.75815,577,8948,10,0.0222,3055149,False,False
202132,2021-08-12,524,DF,Brasília,5300108,city,403123,13194.872,621,8938,8,0.0222,3055149,False,False
202132,2021-08-11,523,DF,Brasília,5300108,city,402502,13174.54566,661,8930,10,0.0222,3055149,False,False
202132,2021-08-10,522,DF,Brasília,5300108,city,401841,13152.91005,428,8920,16,0.0222,3055149,False,False
202132,2021-08-09,521,DF,Brasília,5300108,city,401413,13138.90092,548,8904,18,0.0222,3055149,False,False
202132,2021-08-08,520,DF,Brasília,5300108,city,400865,13120.96399,312,8886,7,0.0222,3055149,False,False
202131,2021-08-07,519,DF,Brasília,5300108,city,400553,13110.75172,546,8879,12,0.0222,3055149,False,False
202131,2021-08-06,518,DF,Brasília,5300108,city,400007,13092.88025,960,8867,11,0.0222,3055149,False,False
202131,2021-08-05,517,DF,Brasília,5300108,city,399047,13061.45789,611,8856,11,0.0222,3055149,False,False
202131,2021-08-04,516,DF,Brasília,5300108,city,398436,13041.45886,589,8845,16,0.0222,3055149,False,False
202131,2021-08-03,515,DF,Brasília,5300108,city,397847,13022.17993,316,8829,16,0.0222,3055149,False,False
202131,2021-08-02,514,DF,Brasília,5300108,city,397531,13011.83674,661,8813,12,0.0222,3055149,False,False
202131,2021-08-01,513,DF,Brasília,5300108,city,396870,12990.20113,613,8801,9,0.0222,3055149,False,False
202130,2021-07-31,512,DF,Brasília,5300108,city,396257,12970.13664,750,8792,9,0.0222,3055149,False,False
202130,2021-07-30,511,DF,Brasília,5300108,city,395507,12945.58792,722,8783,11,0.0222,3055149,False,False
202130,2021-07-29,510,DF,Brasília,5300108,city,394785,12921.95569,658,8772,5,0.0222,3055149,False,False
202130,2021-07-28,509,DF,Brasília,5300108,city,394127,12900.41828,612,8767,14,0.0222,3055149,False,False
202130,2021-07-27,508,DF,Brasília,5300108,city,393515,12880.38652,534,8753,8,0.0222,3055149,False,False
202130,2021-07-26,507,DF,Brasília,5300108,city,392981,12862.90783,604,8745,10,0.0223,3055149,False,False
202130,2021-07-25,506,DF,Brasília,5300108,city,392377,12843.13793,670,8735,9,0.0223,3055149,False,False
202129,2021-07-24,505,DF,Brasília,5300108,city,391707,12821.20774,615,8726,8,0.0223,3055149,False,False
202129,2021-07-23,504,DF,Brasília,5300108,city,391092,12801.07779,816,8718,12,0.0223,3055149,False,False
202129,2021-07-22,503,DF,Brasília,5300108,city,390276,12774.36878,483,8706,16,0.0223,3055149,False,False
202129,2021-07-21,502,DF,Brasília,5300108,city,389793,12758.5594,542,8690,5,0.0223,3055149,False,False
202129,2021-07-20,501,DF,Brasília,5300108,city,389251,12740.81886,442,8685,10,0.0223,3055149,False,False
202129,2021-07-19,500,DF,Brasília,5300108,city,388809,12726.35148,451,8675,11,0.0223,3055149,False,False
202129,2021-07-18,499,DF,Brasília,5300108,city,388358,12711.58952,439,8664,12,0.0223,3055149,False,False
202128,2021-07-17,498,DF,Brasília,5300108,city,387919,12697.22033,480,8652,11,0.0223,3055149,False,False
202128,2021-07-16,497,DF,Brasília,5300108,city,387439,12681.50915,714,8641,20,0.0223,3055149,False,False
202128,2021-07-15,496,DF,Brasília,5300108,city,386725,12658.13877,415,8621,12,0.0223,3055149,False,False
202128,2021-07-14,495,DF,Brasília,5300108,city,386310,12644.55514,622,8609,10,0.0223,3055149,False,False
202128,2021-07-13,494,DF,Brasília,5300108,city,385688,12624.19607,370,8599,15,0.0223,3055149,False,False
202128,2021-07-12,493,DF,Brasília,5300108,city,385318,12612.08537,539,8584,9,0.0223,3055149,False,False
202128,2021-07-11,492,DF,Brasília,5300108,city,384779,12594.44302,458,8575,8,0.0223,3055149,False,False
202127,2021-07-10,491,DF,Brasília,5300108,city,384321,12579.45194,555,8567,13,0.0223,3055149,False,False
202127,2021-07-09,490,DF,Brasília,5300108,city,383766,12561.28588,564,8554,11,0.0223,3055149,False,False
202127,2021-07-08,489,DF,Brasília,5300108,city,383202,12542.82524,524,8543,12,0.0223,3055149,False,False
202127,2021-07-07,488,DF,Brasília,5300108,city,382678,12525.67387,635,8531,9,0.0223,3055149,False,False
202127,2021-07-06,487,DF,Brasília,5300108,city,382043,12504.88929,558,8522,9,0.0223,3055149,False,False
202127,2021-07-05,486,DF,Brasília,5300108,city,381485,12486.62504,552,8513,8,0.0223,3055149,False,False
202127,2021-07-04,485,DF,Brasília,5300108,city,380933,12468.55718,952,8505,12,0.0223,3055149,False,False
202126,2021-07-03,484,DF,Brasília,5300108,city,379981,12437.39667,678,8493,12,0.0224,3055149,False,False
202126,2021-07-02,483,DF,Brasília,5300108,city,379303,12415.20463,510,8481,9,0.0224,3055149,False,False
202126,2021-07-01,482,DF,Brasília,5300108,city,378793,12398.5115,1263,8472,30,0.0224,3055149,False,False
202126,2021-06-29,480,DF,Brasília,5300108,city,377530,12357.17145,465,8442,25,0.0224,3055149,False,False
202126,2021-06-28,479,DF,Brasília,5300108,city,377065,12341.95124,630,8417,10,0.0223,3055149,False,False
202126,2021-06-27,478,DF,Brasília,5300108,city,376435,12321.33032,875,8407,8,0.0223,3055149,False,False
202125,2021-06-26,477,DF,Brasília,5300108,city,375560,12292.69014,662,8399,10,0.0224,3055149,False,False
202125,2021-06-25,476,DF,Brasília,5300108,city,374898,12271.02181,775,8389,13,0.0224,3055149,False,False
202125,2021-06-24,475,DF,Brasília,5300108,city,374123,12245.65479,602,8376,10,0.0224,3055149,False,False
202125,2021-06-23,474,DF,Brasília,5300108,city,373521,12225.95035,542,8366,16,0.0224,3055149,False,False
202125,2021-06-22,473,DF,Brasília,5300108,city,372979,12208.20981,580,8350,13,0.0224,3055149,False,False
202125,2021-06-21,472,DF,Brasília,5300108,city,372399,12189.22547,689,8337,17,0.0224,3055149,False,False
202125,2021-06-20,471,DF,Brasília,5300108,city,371710,12166.67338,834,8320,23,0.0224,3055149,False,False
202124,2021-06-19,470,DF,Brasília,5300108,city,370876,12139.3752,913,8297,19,0.0224,3055149,False,False
202124,2021-06-18,469,DF,Brasília,5300108,city,369963,12109.49122,726,8278,12,0.0224,3055149,False,False
202124,2021-06-17,468,DF,Brasília,5300108,city,369237,12085.72806,704,8266,19,0.0224,3055149,False,False
202124,2021-06-16,467,DF,Brasília,5300108,city,368533,12062.685,807,8247,18,0.0224,3055149,False,False
202124,2021-06-15,466,DF,Brasília,5300108,city,367726,12036.27057,474,8229,17,0.0224,3055149,False,False
202124,2021-06-14,465,DF,Brasília,5300108,city,367252,12020.75578,728,8212,18,0.0224,3055149,False,False
202124,2021-06-13,464,DF,Brasília,5300108,city,366524,11996.92715,1044,8194,18,0.0224,3055149,False,False
202123,2021-06-12,463,DF,Brasília,5300108,city,365480,11962.75534,1074,8176,13,0.0224,3055149,False,False
202123,2021-06-11,462,DF,Brasília,5300108,city,364406,11927.60157,767,8163,20,0.0224,3055149,False,False
202123,2021-06-10,461,DF,Brasília,5300108,city,363639,11902.49641,597,8143,27,0.0224,3055149,False,False
202123,2021-06-09,460,DF,Brasília,5300108,city,363042,11882.95563,642,8116,22,0.0224,3055149,False,False
202123,2021-06-08,459,DF,Brasília,5300108,city,362400,11861.94192,627,8094,15,0.0223,3055149,False,False
202123,2021-06-07,458,DF,Brasília,5300108,city,361773,11841.41919,808,8079,24,0.0223,3055149,False,False
202123,2021-06-06,457,DF,Brasília,5300108,city,360965,11814.97204,862,8055,10,0.0223,3055149,False,False
202122,2021-06-05,456,DF,Brasília,5300108,city,360103,11786.75737,839,8045,21,0.0223,3055149,False,False
202122,2021-06-04,455,DF,Brasília,5300108,city,359264,11759.29554,987,8024,22,0.0223,3055149,False,False
202122,2021-06-03,454,DF,Brasília,5300108,city,358277,11726.98942,377,8002,19,0.0223,3055149,False,False
202122,2021-06-02,453,DF,Brasília,5300108,city,357900,11714.6496,705,7983,24,0.0223,3055149,False,False
202122,2021-06-01,452,DF,Brasília,5300108,city,357195,11691.5738,537,7959,21,0.0223,3055149,False,False
202122,2021-05-31,451,DF,Brasília,5300108,city,356658,11673.99691,811,7938,27,0.0223,3055149,False,False
202122,2021-05-30,450,DF,Brasília,5300108,city,355847,11647.45156,736,7911,20,0.0222,3055149,False,False
202121,2021-05-29,449,DF,Brasília,5300108,city,355111,11623.36109,916,7891,18,0.0222,3055149,False,False
202121,2021-05-28,448,DF,Brasília,5300108,city,354195,11593.37892,658,7873,28,0.0222,3055149,False,False
202121,2021-05-27,447,DF,Brasília,5300108,city,353537,11571.8415,970,7845,28,0.0222,3055149,False,False
202121,2021-05-26,446,DF,Brasília,5300108,city,352567,11540.09183,733,7817,19,0.0222,3055149,False,False
202121,2021-05-25,445,DF,Brasília,5300108,city,351834,11516.09954,684,7798,29,0.0222,3055149,False,False
202121,2021-05-24,444,DF,Brasília,5300108,city,351150,11493.71111,581,7769,15,0.0221,3055149,False,False
202121,2021-05-23,443,DF,Brasília,5300108,city,350569,11474.69403,691,7754,13,0.0221,3055149,False,False
202120,2021-05-22,442,DF,Brasília,5300108,city,349878,11452.07648,665,7741,8,0.0221,3055149,False,False
202120,2021-05-21,441,DF,Brasília,5300108,city,349213,11430.30995,820,7733,20,0.0221,3055149,False,False
202120,2021-05-20,440,DF,Brasília,5300108,city,348393,11403.47001,797,7713,21,0.0221,3055149,False,False
202120,2021-05-19,439,DF,Brasília,5300108,city,347596,11377.3829,856,7692,30,0.0221,3055149,False,False
202120,2021-05-18,438,DF,Brasília,5300108,city,346740,11349.36463,491,7662,20,0.0221,3055149,False,False
202120,2021-05-17,437,DF,Brasília,5300108,city,346249,11333.2934,953,7642,26,0.0221,3055149,False,False
202120,2021-05-16,436,DF,Brasília,5300108,city,345296,11302.10016,755,7616,17,0.0221,3055149,False,False
202119,2021-05-15,435,DF,Brasília,5300108,city,344541,11277.38778,793,7599,22,0.0221,3055149,False,False
202119,2021-05-14,434,DF,Brasília,5300108,city,343748,11251.4316,625,7577,21,0.022,3055149,False,False
202119,2021-05-13,433,DF,Brasília,5300108,city,343123,11230.97433,865,7556,29,0.022,3055149,False,False
202119,2021-05-12,432,DF,Brasília,5300108,city,342258,11202.66147,796,7527,31,0.022,3055149,False,False
202119,2021-05-11,431,DF,Brasília,5300108,city,341462,11176.6071,621,7496,29,0.022,3055149,False,False
202119,2021-05-10,430,DF,Brasília,5300108,city,340841,11156.28076,759,7467,35,0.0219,3055149,False,False
202119,2021-05-09,429,DF,Brasília,5300108,city,340082,11131.43745,852,7432,18,0.0219,3055149,False,False
202118,2021-05-08,428,DF,Brasília,5300108,city,339230,11103.55011,839,7414,29,0.0219,3055149,False,False
